"""birds__|""",birds__|__preferences__sunflower black,birds__|__preferences__sunflower striped,birds__|__preferences__sunflower hulled,birds__|__preferences__millet,birds__|__preferences__milo,birds__|__preferences__nyjer,birds__|__preferences__peanut,birds__|__preferences__safflower,birds__|__preferences__corn
cardinal,3,3,3,1,,,,3,1,
chickadee,3,2,2,,,,2,2,,
dove,2,1,2,3,3,1,,2,2,
goldfinch and purple finch,3,2,3,1,,3,,,,
grosbeak,2,2,3,,,,,1,,
house finch,3,2,3,2,,3,,1,,
jay,3,3,3,,1,,2,1,2,
junco,1,1,1,1,,1,,,3,
nuthatch,3,2,2,,,,1,1,,
siskin,1,1,3,,,3,,,1,,,
sparrow,3,3,3,3,2,,,1,2,,,
titmouse,3,2,2,,,1,2,1,,,,
towhee,3,3,3,1,,,1,1,1,,,
woodpecker,2,2,3,,,,1,1,1,,,